id,subject,topic,difficulty,question,A,B,C,D,correct
780,DSMP,Logic Gates,hard,DeMorganâ€™s theorem converts?,AND to OR,OR to AND,Both,None,C
781,IoT,Introduction,easy,IoT stands for?,Internet of Tools,Internet of Things,Interconnected Technology,Intelligent Objects,B
782,IoT,Introduction,easy,Main goal of IoT is to?,Connect people only,Connect devices and share data,Store big data,Build hardware,B
783,IoT,Introduction,easy,IoT devices are connected through?,Internet,Cloud only,Bluetooth only,USB,A
784,IoT,Introduction,easy,Smart devices are also known as?,Sensors,Actuators,Things,Nodes,D
785,IoT,Architecture,easy,IoT system generally has how many layers?,2,3,4,5,B
786,IoT,Architecture,easy,The perception layer handles?,Data sensing,Communication,Data processing,Cloud storage,A
787,IoT,Architecture,easy,Application layer is responsible for?,User interface and services,Data sensing,Routing,Security,A
788,IoT,Communication,easy,IoT uses which type of communication?,Machine to Machine,Human to Machine,Human to Human,Manual,A
789,IoT,Communication,easy,Which protocol is commonly used in IoT?,HTTP,MQTT,POP3,FTP,B
790,IoT,Devices,easy,Example of IoT device?,Refrigerator,Desktop PC,Server,Printer,A
791,IoT,Devices,easy,Actuator performs?,Data collection,Action based on signal,Storage,Network routing,B
792,IoT,Devices,easy,Raspberry Pi is a?,Microcontroller,Single-board computer,Sensor,Router,B
793,IoT,Devices,easy,Arduino is mainly used for?,Programming microcontrollers,Networking,Cloud computing,Data storage,A
794,IoT,Communication,easy,ZigBee is used for?,High power communication,Low power wireless communication,Cloud computing,Data encryption,B
795,IoT,Communication,easy,Bluetooth is used for?,Long-range communication,Short-range communication,Cloud connection,Data encryption,B
796,IoT,Protocols,moderate_1,MQTT stands for?,Message Queue Telemetry Transport,Machine Quality Transfer Tool,Message Query Transfer Type,None,A
797,IoT,Protocols,moderate_1,CoAP works on which protocol?,TCP,UDP,FTP,SMTP,B
798,IoT,Protocols,moderate_1,HTTP is?,Request-response protocol,Real-time protocol,Event-driven protocol,Wireless protocol,A
799,IoT,Protocols,moderate_1,Which protocol is lightweight for constrained devices?,MQTT,HTTP,FTP,TCP,A
800,IoT,Protocols,moderate_1,IoT Gateway is used for?,Connecting sensors to network,Encrypting data,Displaying output,Data backup,A
801,IoT,Devices,moderate_1,RFID stands for?,Radio Frequency Identification,Rapid File Integration Device,Remote Function Identifier,Random Frequency Input Device,A
802,IoT,Devices,moderate_1,NFC stands for?,Near Field Communication,Network File Control,Node Frequency Connector,Net Flow Channel,A
803,IoT,Devices,moderate_1,Sensor converts?,Electrical signal to data,Physical quantity to electrical signal,Data to sound,None,B
804,IoT,Devices,moderate_1,Example of actuator?,Motor,Thermometer,Sensor,Raspberry Pi,A
805,IoT,Devices,moderate_1,IoT Node means?,Device connected in IoT network,Data packet,Storage module,None,A
806,IoT,Platforms,moderate_1,IoT platform provides?,Device management and data analytics,Only sensors,Hardware design,OS only,A
807,IoT,Platforms,moderate_1,Popular IoT cloud platform?,AWS IoT,Windows Server,Hadoop,Jenkins,A
808,IoT,Platforms,moderate_1,Azure IoT Hub is developed by?,Google,Amazon,Microsoft,IBM,C
809,IoT,Platforms,moderate_1,Google Cloud IoT Core supports?,Device connection & data collection,Hardware only,Wi-Fi only,None,A
810,IoT,Platforms,moderate_1,IBM Watson IoT focuses on?,Analytics and AI,Hardware,OS security,Browser design,A
811,IoT,Security,moderate_2,IoT security ensures?,"Confidentiality, integrity, availability",Connectivity only,Data loss,Fast processing,A
812,IoT,Security,moderate_2,Main security issue in IoT?,Weak authentication,Strong encryption,Open access,Redundancy,A
813,IoT,Security,moderate_2,Encryption provides?,Confidentiality,Integrity,Availability,Speed,A
814,IoT,Security,moderate_2,Which layer is most vulnerable in IoT?,Perception,Application,Network,All layers,D
815,IoT,Security,moderate_2,Privacy attack occurs when?,Unauthorized access to personal data,Data loss,Device restart,None,A
816,IoT,Cloud,moderate_2,Cloud computing provides?,Remote data storage & processing,Hardware interface,Device configuration,Local computation,A
817,IoT,Cloud,moderate_2,Fog computing performs processing?,Near data source,At cloud,At user end,None,A
818,IoT,Cloud,moderate_2,Edge computing focuses on?,Processing at network edge,Cloud only,Server center,None,A
819,IoT,Cloud,moderate_2,Advantage of edge computing?,Reduces latency,Increases delay,Increases cost,Decreases performance,A
820,IoT,Cloud,moderate_2,Cloud in IoT helps in?,Data storage & analytics,Only communication,Sensing,Routing,A
821,IoT,Applications,hard,Smart city uses IoT for?,Waste management & traffic control,Data mining,Cryptography,Banking,A
822,IoT,Applications,hard,Smart agriculture monitors?,Soil and weather,Traffic,Server load,None,A
823,IoT,Applications,hard,e-Health IoT system monitors?,Patient health remotely,Office attendance,Website traffic,Network packets,A
824,IoT,Applications,hard,Smart grid optimizes?,Energy distribution,Traffic,Security,Data flow,A
825,IoT,Applications,hard,IoT in transportation helps?,Vehicle tracking,Food delivery,Banking,Education,A
826,IoT,Analytics,hard,Data analytics in IoT is used to?,Gain insights from sensor data,Compress files,Encrypt communication,Build hardware,A
827,IoT,Analytics,hard,Real-time analytics is needed for?,Decision making,Long storage,Manual control,None,A
828,IoT,Analytics,hard,Predictive maintenance in IoT uses?,ML algorithms,Only cloud,Manual logs,Hardware testing,A
829,IoT,Devices,hard,IoT devices mostly run on?,Embedded OS,Windows,Linux only,None,A
830,IoT,Devices,hard,Example of embedded OS?,FreeRTOS,Ubuntu,Windows 10,Fedora,A
831,IoT,Trends,hard,AIoT stands for?,Artificial Intelligence of Things,Automated Internet of Tech,Augmented IoT,Advanced Intelligent Thing,A
832,IoT,Trends,hard,Digital twin in IoT means?,Virtual replica of physical system,Hardware duplication,Cloud backup,None,A
833,IoT,Trends,hard,LPWAN stands for?,Low Power Wide Area Network,Long Protocol Wireless Access Node,Light Power WAN,Local Power Wireless Access,A
834,IoT,Trends,hard,6LoWPAN is used for?,IPv6 over low-power networks,IPv4 routing,Ethernet communication,Cloud connection,A
835,IoT,Trends,hard,Which is a low power protocol?,ZigBee,HTTP,FTP,SMTP,A
836,IoT,Security,hard,Blockchain in IoT helps in?,Secure data transactions,Energy saving,Reduce latency,None,A
837,IoT,Security,hard,IDS in IoT stands for?,Intrusion Detection System,Internet Data Source,Integrated Device Setup,None,A
838,IoT,Challenges,hard,Major challenge in IoT?,Interoperability,Overpower,High cost,Simplicity,A
839,IoT,Challenges,hard,Data management in IoT is complex due to?,Large data volume,Small datasets,Manual processing,None,A
840,IoT,Future,hard,Future IoT will rely more on?,AI and Edge Computing,Only sensors,Only hardware,None,A
841,Java,Basics,easy,Java was developed by?,James Gosling,Dennis Ritchie,Bjarne Stroustrup,Guido van Rossum,A
842,Java,Basics,easy,Java is a?,Compiled language,Interpreted language,Both compiled and interpreted,Assembled language,C
843,Java,Basics,easy,JVM stands for?,Java Virtual Machine,Java Variable Method,Java Version Manager,None,A
844,Java,Basics,easy,Which extension is used for Java source file?,.class,.java,.jar,.exe,B
845,Java,Basics,easy,Bytecode is executed by?,JDK,JRE,JVM,Compiler,C
846,Java,Basics,easy,Which keyword defines a class?,class,struct,define,module,A
847,Java,Basics,easy,Which keyword is used to inherit a class?,this,import,extends,implements,C
848,Java,Basics,easy,Default value of int variable is?,0,null,undefined,garbage,A
849,Java,Basics,easy,Which operator is used for comparison?,=,==,===,!=,B
850,Java,Basics,easy,Which is not a Java primitive type?,int,float,boolean,string,D
851,Java,Basics,easy,Which method is entry point of Java program?,main(),start(),run(),init(),A
852,Java,Basics,easy,Java supports?,Multiple inheritance via classes,Multiple inheritance via interfaces,No inheritance,None,B
853,Java,Basics,easy,Constructor name is same as?,File name,Class name,Object name,None,B
854,Java,Basics,easy,Which access modifier makes member visible everywhere?,private,public,protected,default,B
855,Java,Basics,easy,Which keyword prevents inheritance?,abstract,static,final,transient,C
856,Java,OOP,moderate_1,Polymorphism means?,Many forms,One form,No forms,Dynamic typing,A
857,Java,OOP,moderate_1,Method overloading is?,"Same name, different parameters","Same name, same parameters",Different names,None,A
858,Java,OOP,moderate_1,Method overriding is?,Redefining inherited method,Hiding private members,Using static methods,None,A
859,Java,OOP,moderate_1,Abstract class cannot?,Have abstract methods,Be instantiated,Have constructors,Have fields,B
860,Java,OOP,moderate_1,Interface methods are by default?,Private,Public & abstract,Static,Final,B
861,Java,OOP,moderate_1,Package in Java is used for?,Grouping classes,Compiling code,Memory allocation,Exception handling,A
862,Java,OOP,moderate_1,this keyword refers to?,Current object,Parent object,Static method,None,A
863,Java,OOP,moderate_1,super keyword refers to?,Current object,Parent class object,Child class,None,B
864,Java,Exception,moderate_1,try block is followed by?,finally,throw,catch or finally,None,C
865,Java,Exception,moderate_1,Checked exceptions are checked at?,Compile time,Runtime,Both,None,A
866,Java,Exception,moderate_1,Which keyword is used to manually throw exception?,throw,throws,catch,final,A
867,Java,Exception,moderate_1,finally block executes?,Always,Never,Only on exception,None,A
868,Java,Exception,moderate_1,Exception base class?,Throwable,Exception,RuntimeException,Error,A
869,Java,Exception,moderate_1,NullPointerException occurs when?,Access null object,Divide by zero,Invalid cast,None,A
870,Java,OOP,moderate_1,Static methods belong to?,Class,Object,Package,Thread,A
871,Java,Thread,moderate_2,Thread in Java created using?,Thread class or Runnable,Runnable only,Process class,None,A
872,Java,Thread,moderate_2,run() method belongs to?,Thread class,Object class,Runnable interface,A & C,D
873,Java,Thread,moderate_2,start() method is used to?,Begin thread execution,Define thread,Stop thread,None,A
874,Java,Thread,moderate_2,Thread priority range is?,0–5,1–10,1–5,0–10,B
875,Java,Thread,moderate_2,sleep() belongs to?,Thread,Object,Process,None,A
876,Java,Collection,moderate_2,Collection root interface?,List,Set,Collection,Map,C
877,Java,Collection,moderate_2,Which is synchronized?,Vector,ArrayList,HashSet,LinkedList,A
878,Java,Collection,moderate_2,HashMap stores data as?,Key-value pairs,Keys only,Values only,None,A
879,Java,Collection,moderate_2,Set allows?,Duplicates,Unique elements,Both,None,B
880,Java,Collection,moderate_2,Iterator used for?,Traversing collection,Sorting,Filtering,None,A
881,Java,File Handling,hard,Which class reads file line by line?,BufferedReader,FileInputStream,FileWriter,Scanner,A
882,Java,File Handling,hard,Which package handles file I/O?,java.io,java.util,java.file,java.sys,A
883,Java,Exception,hard,IOException belongs to?,Checked exception,Runtime exception,Error,None,A
884,Java,GUI,hard,JFrame belongs to?,Swing,AWT,JavaFX,None,A
885,Java,GUI,hard,To close JFrame use?,setDefaultCloseOperation(),exit(),close(),stop(),A
886,Java,GUI,hard,JLabel and JButton belong to?,Swing,AWT,JavaFX,Applet,A
887,Java,GUI,hard,Layout manager example?,BorderLayout,LinearLayout,Box,None,A
888,Java,Multithreading,hard,Synchronization prevents?,Race conditions,Compilation,Errors,None,A
889,Java,Multithreading,hard,join() method ensures?,One thread waits for another,Thread stops,Both run parallel,None,A
890,Java,Memory,hard,Garbage collection removes?,Unreferenced objects,Files,Threads,Packages,A
891,Java,JDBC,hard,JDBC stands for?,Java Database Connectivity,Java Data Compiler,Java Dynamic Connection,None,A
892,Java,JDBC,hard,Which package for JDBC?,java.sql,java.db,java.io,java.connect,A
893,Java,JDBC,hard,DriverManager class is used for?,Registering JDBC drivers,Managing threads,Handling files,None,A
894,Java,JDBC,hard,executeQuery() returns?,ResultSet,int,boolean,None,A
895,Java,JDBC,hard,executeUpdate() used for?,"Insert, Update, Delete",Select,View,None,A
896,Java,JDBC,hard,Connection interface used for?,Establishing DB connection,Executing queries,Closing JVM,None,A
897,Java,Advanced,hard,Serializable interface used for?,Object persistence,Thread control,GUI,None,A
898,Java,Advanced,hard,transient keyword means?,Do not serialize field,Final variable,Constant,None,A
899,Java,Advanced,hard,Reflection API used for?,Inspecting classes and methods,Compiling code,Exception handling,None,A
900,Java,Advanced,hard,JAR file contains?,Compiled classes and metadata,Only source code,Executables,Threads,A
901,Maths,Set Theory,easy,A set is a?,Collection of random objects,Well-defined collection of objects,Unordered list,Tuple,B
902,Maths,Set Theory,easy,The number of subsets of a set with n elements is?,n,2n,n²,n!,B
903,Maths,Set Theory,easy,The union of sets A and B contains?,Only common elements,All elements of A or B,Only elements of A,None,B
904,Maths,Logic,easy,A statement that is always true is called?,Contradiction,Tautology,Contingency,Paradox,B
905,Maths,Logic,easy,Negation of (A ? B) is?,¬A ? ¬B,¬A ? ¬B,A ? B,None,B
906,Maths,Relations,easy,A relation R on set A is reflexive if?,"aRb for all a,b",aRa for all a,"aRb for some a,b",None,B
907,Maths,Relations,easy,A function is a special case of relation where?,Every input has one output,Many outputs possible,One-to-many mapping,None,A
908,Maths,Functions,easy,f(x)=x² is an example of?,Linear function,Quadratic function,Exponential,Constant,B
909,Maths,Combinatorics,easy,Number of permutations of n objects is?,n,n²,n!,2n,C
910,Maths,Combinatorics,easy,Combination formula is?,n!/(n?r)!,n!/(r!(n?r)!),n!/r!,r!/n!,B
911,Maths,Probability,easy,Probability of sure event is?,0,1,½,Undefined,B
912,Maths,Probability,easy,"If P(A)=0, event A is?",Impossible,Certain,Equal,Complementary,A
913,Maths,Statistics,easy,"Mean of numbers 2,4,6,8 is?",5,6,4,7,A
914,Maths,Matrices,easy,Identity matrix has?,All zeros,Diagonal ones,Random entries,All ones,B
915,Maths,Graph Theory,easy,Degree of isolated vertex is?,0,1,2,n,A
916,Maths,Set Theory,moderate_1,The intersection of disjoint sets is?,A,B,Null set,Universal set,C
917,Maths,Logic,moderate_1,(A ? B) is logically equivalent to?,(¬A ? B),(A ? B),(¬A ? B),(A ? B),A
918,Maths,Logic,moderate_1,Contrapositive of (A ? B) is?,(A ? ¬B),(¬B ? ¬A),(¬A ? B),(B ? A),B
919,Maths,Relations,moderate_1,Transitive relation means?,aRb & bRc ? aRc,aRb ? bRa,aRa for all a,None,A
920,Maths,Functions,moderate_1,One-to-one function is called?,Surjective,Injective,Bijective,Partial,B
921,Maths,Functions,moderate_1,Function with every element of codomain mapped is?,Injective,Surjective,Bijective,Partial,B
922,Maths,Combinatorics,moderate_1,Number of subsets of a 3-element set is?,3,6,8,9,C
923,Maths,Combinatorics,moderate_1,How many 3-letter words from ABCD (no repetition)?,24,12,6,8,A
924,Maths,Probability,moderate_1,Sum of probabilities of all outcomes is?,0,1,n,Infinity,B
925,Maths,Probability,moderate_1,"If P(A)=0.4 and P(B)=0.3, P(A?B)=? (A,B independent)",0.12,0.58,0.7,0.5,B
926,Maths,Graph Theory,moderate_1,Euler’s formula for connected planar graphs is?,V+E=F,V?E+F=2,V+F=E,E?V+F=2,B
927,Maths,Graph Theory,moderate_1,A tree with n vertices has how many edges?,n,n?1,n+1,2n,B
928,Maths,Boolean Algebra,moderate_1,The complement of (A+B)’ is?,A·B,A+B,A’+B’,A’B’,A
929,Maths,Boolean Algebra,moderate_1,(A·1) = ?,1,0,A,A’,C
930,Maths,Matrices,moderate_1,Determinant of identity matrix is?,0,1,n,?1,B
931,Maths,Probability,moderate_2,Bayes’ theorem is used for?,Independent events,Conditional probability,Counting,Normalization,B
932,Maths,Statistics,moderate_2,Standard deviation measures?,Mean,Spread,Median,Probability,B
933,Maths,Statistics,moderate_2,Mode is?,Most frequent value,Middle value,Average,Sum,A
934,Maths,Combinatorics,moderate_2,Number of diagonals in an n-sided polygon =?,n(n?3)/2,n(n?2)/2,n²/2,n+3,A
935,Maths,Graph Theory,moderate_2,Complete graph with n vertices has how many edges?,n(n?1)/2,n²,n,2n,A
936,Maths,Graph Theory,moderate_2,A graph with no cycles is called?,Simple,Complete,Tree,Null,C
937,Maths,Relations,moderate_2,Equivalence relation is?,"Reflexive, symmetric, transitive",Antisymmetric only,Symmetric only,Transitive only,A
938,Maths,Functions,moderate_2,Inverse function exists only if function is?,Injective,Surjective,Bijective,None,C
939,Maths,Logic,moderate_2,XOR operation outputs true if?,Both true,One true,Both false,Both same,B
940,Maths,Boolean Algebra,moderate_2,De Morgan’s Law: (A·B)’ = ?,A’+B’,A’B’,A+B,AB,A
941,Maths,Calculus,hard,Derivative of x² is?,2x,x,x²,1/x,A
942,Maths,Calculus,hard,Integral of sin(x) dx = ?,?cos(x),cos(x),sin(x),tan(x),A
943,Maths,Calculus,hard,Derivative of e? is?,e?,1,0,x,A
944,Maths,Calculus,hard,"If f(x)=x³, f’(x)=?",3x²,x³,2x,3x,A
945,Maths,Probability,hard,Expected value of a fair die = ?,2,3.5,4,6,B
946,Maths,Probability,hard,"For independent A,B, P(A?B)=?",P(A)+P(B),P(A)×P(B),P(A)/P(B),P(A)?P(B),B
947,Maths,Graph Theory,hard,Hamiltonian cycle visits?,Every edge once,Every vertex once,Repeats vertices,None,B
948,Maths,Graph Theory,hard,Bipartite graph means?,Vertices can be divided into two disjoint sets,Graph with loops,Directed graph,Weighted graph,A
949,Maths,Graph Theory,hard,Adjacency matrix represents?,Vertex-edge relation,Vertex-vertex connections,Edge weights only,None,B
950,Maths,Graph Theory,hard,Dijkstra’s algorithm finds?,Shortest path,Longest path,MST,None,A
951,Maths,Matrices,hard,A matrix multiplied by its inverse gives?,Identity matrix,Null matrix,Zero matrix,Transpose,A
952,Maths,Matrices,hard,Determinant is used to find?,Rank,Inverse,Order,Nullity,B
953,Maths,Boolean Algebra,hard,Logic gates implement?,Boolean expressions,Algebraic equations,Recurrence relations,None,A
954,Maths,Boolean Algebra,hard,NAND is equivalent to?,(A·B)’,(A+B)’,(A+B),(A·B),A
955,Maths,Logic,hard,Predicate logic extends propositional logic by adding?,Variables and quantifiers,Graphs,Operators,Sets,A
956,Maths,Logic,hard,Existential quantifier means?,For all,There exists,None,If then,B
957,Maths,Relations,hard,Partial order relation is?,"Reflexive, antisymmetric, transitive",Symmetric only,Transitive only,Antisymmetric only,A
958,Maths,Combinatorics,hard,Binomial theorem expands (a+b)? using?,Permutations,Combinations,Factorials,Determinants,B
959,Maths,Graph Theory,hard,Minimum Spanning Tree covers?,All vertices with minimum total edge weight,All edges,All cycles,None,A
960,Maths,Graph Theory,hard,Kruskal’s algorithm is used for?,Minimum spanning tree,Shortest path,DFS traversal,Maximum flow,A
961,ML,Introduction,easy,Machine Learning is a subset of?,Artificial Intelligence,Database Systems,Operating Systems,Data Structures,A
962,ML,Introduction,easy,ML enables systems to?,Store data,Learn from data,Hardcode responses,Replace databases,B
963,ML,Introduction,easy,Which of the following is not a type of ML?,Supervised,Unsupervised,Reinforcement,Reactive,D
964,ML,Introduction,easy,Training data is used to?,Evaluate model,Teach the model,Visualize data,Deploy model,B
965,ML,Supervised Learning,easy,Supervised learning involves?,Labeled data,Unlabeled data,Reinforcement,None,A
966,ML,Unsupervised Learning,easy,Clustering is a type of?,Supervised learning,Unsupervised learning,Reinforcement learning,None,B
967,ML,Supervised Learning,easy,Regression predicts?,Categories,Continuous values,Clusters,Relations,B
968,ML,Supervised Learning,easy,Classification predicts?,Continuous output,Discrete labels,Features,Algorithms,B
969,ML,Introduction,easy,Overfitting occurs when?,Model learns training data too well,Model performs well on all data,Model is undertrained,Model ignores features,A
970,ML,Model Evaluation,easy,Which metric is used for classification accuracy?,MSE,RMSE,Accuracy score,R²,C
971,ML,Data Preprocessing,easy,Removing missing values is part of?,Model tuning,Data preprocessing,Feature scaling,Model testing,B
972,ML,Feature Engineering,easy,Feature scaling is done to?,Make features comparable,Increase dataset size,Encode labels,None,A
973,ML,Supervised Learning,easy,Example of supervised algorithm?,K-Means,Decision Tree,PCA,Autoencoder,B
974,ML,Unsupervised Learning,easy,K-Means aims to?,Classify data,Cluster data,Label data,Predict output,B
975,ML,Introduction,easy,ML model generalization refers to?,Fitting test data,Performing well on unseen data,Overfitting data,Feature selection,B
976,ML,Algorithms,moderate_1,Linear Regression assumes relationship between variables is?,Linear,Non-linear,Random,Complex,A
977,ML,Algorithms,moderate_1,Logistic Regression is used for?,Regression problems,Classification problems,Clustering,Reinforcement,B
978,ML,Algorithms,moderate_1,Decision Tree splits data using?,Entropy or Gini index,Random value,Distance measure,Correlation,A
979,ML,Algorithms,moderate_1,Naive Bayes is based on?,Bayes Theorem,Decision boundary,Gradient descent,Information gain,A
980,ML,Algorithms,moderate_1,KNN algorithm works on?,Distance metric,Probability,Entropy,Clusters,A
981,ML,Algorithms,moderate_1,SVM finds?,Nearest neighbor,Hyperplane separating classes,Probability density,Centroid,B
982,ML,Evaluation,moderate_1,Confusion matrix shows?,Data distribution,Prediction results,Feature correlation,Model hyperparameters,B
983,ML,Evaluation,moderate_1,Precision measures?,True positives among predicted positives,False negatives,True negatives,Recall rate,A
984,ML,Evaluation,moderate_1,Recall is also known as?,Sensitivity,Specificity,Accuracy,Precision,A
985,ML,Evaluation,moderate_1,F1 Score is the?,Sum of precision and recall,Product of precision and recall,Harmonic mean of precision and recall,None,C
986,ML,Feature Engineering,moderate_1,Dimensionality reduction is used to?,Reduce number of features,Increase accuracy,Remove missing data,Encode labels,A
987,ML,Feature Engineering,moderate_1,PCA stands for?,Principal Component Analysis,Primary Clustering Algorithm,Partial Classification Approach,Probability Component Analyzer,A
988,ML,Model Evaluation,moderate_1,Cross-validation helps to?,Measure model performance,Split labels,Train multiple models,Increase overfitting,A
989,ML,Model Training,moderate_1,Hyperparameters are?,Learned parameters,Tunable settings for training,Random variables,Testing data,B
990,ML,Data Preprocessing,moderate_1,Encoding categorical variables means?,Converting text to numeric,Deleting rows,Normalizing values,Adding noise,A
991,ML,Overfitting,moderate_2,Regularization helps to?,Reduce overfitting,Increase overfitting,Improve accuracy always,Add features,A
992,ML,Regularization,moderate_2,L1 regularization is also called?,Ridge,Lasso,ElasticNet,None,B
993,ML,Regularization,moderate_2,L2 regularization is also called?,Ridge,Lasso,Dropout,Logistic,A
994,ML,Optimization,moderate_2,Gradient Descent is used for?,Minimizing loss function,Maximizing accuracy,Feature scaling,Data cleaning,A
995,ML,Optimization,moderate_2,Learning rate controls?,Size of weight updates,Number of layers,Model accuracy,Batch size,A
996,ML,Optimization,moderate_2,Epoch refers to?,One pass over training data,One feature iteration,One model,One variable,A
997,ML,Model Evaluation,moderate_2,A good model should have?,High bias,High variance,"Low bias, low variance",High complexity,C
998,ML,Algorithms,moderate_2,Ensemble learning combines?,Multiple models,Single model,Training data only,Feature scaling,A
999,ML,Ensemble Learning,moderate_2,Random Forest is an example of?,Bagging,Boosting,Regression,Clustering,A
1000,ML,Ensemble Learning,moderate_2,AdaBoost focuses on?,Misclassified instances,Correct predictions,Random samples,All data equally,A
1001,ML,Neural Networks,hard,Neuron in ANN performs?,Linear transformation,Non-linear transformation using activation,Gradient check,Feature normalization,B
1002,ML,Neural Networks,hard,Activation function introduces?,Non-linearity,Linearity,Regularization,Bias,A
1003,ML,Neural Networks,hard,Common activation function?,ReLU,Mean,Covariance,Gradient,A
1004,ML,Neural Networks,hard,Backpropagation updates?,Weights,Layers,Activation,Bias only,A
1005,ML,Neural Networks,hard,CNNs are mainly used for?,Image data,Text data,Time series,Audio,A
1006,ML,Neural Networks,hard,RNNs are mainly used for?,Sequential data,Static images,Structured data,Graphs,A
1007,ML,Neural Networks,hard,Deep learning differs from ML by?,Using neural networks with multiple layers,Using less data,No optimization,Symbolic computation,A
1008,ML,Algorithms,hard,Gradient boosting combines models?,Sequentially,In parallel,Randomly,With dropout,A
1009,ML,Algorithms,hard,Support Vector Machines use?,Kernel functions,Trees,Distance only,Gradient only,A
1010,ML,Ethics,hard,Bias in ML models occurs due to?,Skewed training data,Large data,Good preprocessing,Feature scaling,A
1011,ML,Ethics,hard,Fairness in ML aims to?,Ensure equal performance for all groups,Reduce accuracy,Increase complexity,Randomize labels,A
1012,ML,Ethics,hard,Model interpretability helps to?,Understand decisions made by model,Reduce size,Remove bias,Increase speed,A
1013,ML,Limitations,hard,ML model may fail when?,Data is biased,Data is clean,Features are normalized,Model is simple,A
1014,ML,Limitations,hard,The curse of dimensionality refers to?,Too many features degrading performance,Lack of labels,Missing values,Noisy data,A
1015,ML,Applications,hard,Recommendation systems use?,Collaborative filtering,Random forests,Logistic regression,None,A
1016,ML,Applications,hard,Sentiment analysis is an application of?,NLP,Image processing,Time series,Audio processing,A
1017,ML,Applications,hard,Spam filtering uses?,Classification,Regression,Clustering,Dimensionality reduction,A
1018,ML,Applications,hard,Credit scoring is example of?,Classification,Clustering,Reinforcement,Regression,A
1019,ML,Ethics,hard,Adversarial attacks target?,Neural networks,Decision trees,Linear regression,PCA,A
1020,ML,Emerging Trends,hard,Federated Learning focuses on?,Training across multiple devices without sharing data,Centralized training,Cloud storage,Unsupervised labeling,A
1021,OOP,OOP Basics,easy,Which feature of OOP binds data and functions together?,Inheritance,Encapsulation,Abstraction,Polymorphism,B
1022,OOP,Inheritance,easy,Which type of inheritance allows a class to inherit from more than one base class?,Single,Multiple,Multilevel,Hierarchical,B
1023,OOP,Polymorphism,easy,Which keyword is used to define a virtual function in C++?,virtual,override,abstract,friend,A
1024,OOP,OOP Basics,easy,Which of the following is not a feature of OOP?,Encapsulation,Inheritance,Compilation,Polymorphism,C
1025,OOP,Encapsulation,easy,Data hiding is achieved using which OOP feature?,Polymorphism,Encapsulation,Inheritance,Abstraction,B
1026,OOP,Abstraction,easy,Which concept hides implementation details from users?,Encapsulation,Polymorphism,Abstraction,Inheritance,C
1027,OOP,Constructor,easy,Which function is automatically called when an object is created?,Destructor,Constructor,Virtual,Inline,B
1028,OOP,Destructor,easy,Which function is automatically called when an object is destroyed?,Constructor,Virtual,Destructor,Static,C
1029,OOP,OOP Basics,easy,Which of these represents a blueprint for objects?,Function,Class,Variable,Loop,B
1030,OOP,Access Specifier,easy,Which access specifier allows access from anywhere?,Private,Protected,Public,Static,C
1031,OOP,File Handling,easy,Which class is used to write data to files in C++?,ifstream,ofstream,fstream,istream,B
1032,OOP,Function Overloading,easy,Function overloading is an example of?,Encapsulation,Polymorphism,Abstraction,Inheritance,B
1033,OOP,Static,easy,Static members are shared by?,One object,All objects,Derived class only,Base class only,B
1034,OOP,Friend Function,easy,Friend functions can access?,Private and protected members,Public members only,Static members only,None,A
1035,OOP,Templates,easy,Templates in C++ are used for?,Inheritance,Generic programming,Overloading,Encapsulation,B
1036,OOP,Inheritance,moderate_1,Which inheritance type can lead to diamond problem?,Single,Multiple,Hierarchical,Multilevel,B
1037,OOP,Polymorphism,moderate_1,Runtime polymorphism is achieved using?,Virtual functions,Function overloading,Templates,Friend functions,A
1038,OOP,Abstraction,moderate_1,Abstract classes contain?,Only concrete methods,At least one pure virtual function,Only data members,Constructors,B
1039,OOP,Encapsulation,moderate_1,Encapsulation helps in achieving?,Reusability,Security,Inheritance,Efficiency,B
1040,OOP,OOP Basics,moderate_1,An object is an instance of?,Function,Class,Operator,Template,B
1041,OOP,Constructor,moderate_1,Default constructor takes how many arguments?,Zero,One,Two,Variable,A
1042,OOP,Constructor,moderate_1,Constructors cannot be?,Overloaded,Private,Virtual,Public,C
1043,OOP,Destructor,moderate_1,Destructors cannot have?,Arguments,Return type,Both,None,C
1044,OOP,Access Specifier,moderate_1,Private members of a class are accessible to?,All objects,Friend functions,Derived class,None,B
1045,OOP,Operator Overloading,moderate_1,Which operator cannot be overloaded?,+,=,::,[],C
1046,OOP,Exception Handling,moderate_1,Which keyword is used to handle exceptions?,throw,try,catch,All,D
1047,OOP,File Handling,moderate_1,Which function is used to read a single character from file?,get(),getline(),read(),scan(),A
1048,OOP,Templates,moderate_1,Template function allows?,Multiple data types,Only int type,One data type,No data type,A
1049,OOP,Static,moderate_1,Static data members are initialized outside class using?,object name,class name and scope resolution,constructor,main(),B
1050,OOP,Friend Function,moderate_1,Friend function is declared using keyword?,public,friend,virtual,protected,B
1051,OOP,Polymorphism,moderate_2,Virtual functions are resolved at?,Compile time,Runtime,Both,Link time,B
1052,OOP,Inheritance,moderate_2,"In multiple inheritance, ambiguity is resolved using?",Scope resolution,Casting,Templates,Friend function,A
1053,OOP,Templates,moderate_2,Which keyword is used to define a template?,template,generic,typedef,typename,A
